code,date,market_cap_100m,price,shares
003670,2026-08-05,130039,146200,88945964
003670,2026-08-07,138578,155800,88946085
003670,2026-08-12,142314,160000,88946250
004690,2026-08-13,4450,122700,3626732
006400,2026-08-05,345712,429000,80585548
006400,2026-08-07,369888,459000,80585621
006400,2026-08-12,391243,485500,80585582
006650,2026-08-13,5753,88500,6500565
010950,2026-08-05,137914,122500,112582857
010950,2026-08-07,154914,137600,112582849
010950,2026-08-12,159305,141500,112583039
011170,2026-08-05,24681,57700,42774697
011170,2026-08-07,26093,61000,42775410
011170,2026-08-12,24767,57900,42775475
047050,2026-08-05,95702,54400,175922794
047050,2026-08-07,102035,58000,175922414
047050,2026-08-12,98165,55800,175922939
051910,2026-08-05,180363,255500,70592172
051910,2026-08-07,194835,276000,70592391
051910,2026-08-12,194482,275500,70592377
096770,2026-08-05,184606,109200,169053114
096770,2026-08-07,203371,120300,169053200
096770,2026-08-12,206921,122400,169053105
247540,2026-08-05,99494,101700,97830875
247540,2026-08-07,104679,107000,97830841
247540,2026-08-12,111918,114400,97830420
373220,2026-08-05,785070,335500,234000000
373220,2026-08-07,842400,360000,234000000
373220,2026-08-12,838890,358500,234000000
