code,month,volume,trading_value,last_trading_day
096770,2026-08,3737710,414471223350,2026-08-07
051910,2026-08,1010860,258446242000,2026-08-07
010950,2026-08,2126863,268233572700,2026-08-07
011170,2026-08,442325,25450476350,2026-08-07
047050,2026-08,1778236,96522999400,2026-08-07
373220,2026-08,1474755,494964427000,2026-08-07
006400,2026-08,2058026,877458650750,2026-08-07
247540,2026-08,2564012,257927598600,2026-08-07
003670,2026-08,1778530,265166263450,2026-08-07
096770,2026-07,18745528,2149341866100,2026-07-31
096770,2026-06,9699241,1020960763350,2026-06-30
096770,2026-05,13653404,1764943165300,2026-05-29
096770,2026-04,15701243,2046627461750,2026-04-30
096770,2026-03,19299288,2332511963000,2026-03-31
096770,2026-02,10908611,1334050221250,2026-02-27
096770,2026-01,10046354,1078048697300,2026-01-30
096770,2025-12,5043824,557548501200,2025-12-30
096770,2025-11,6082502,733129001150,2025-11-28
096770,2025-10,11656289,1427321234196,2025-10-31
051910,2026-07,4824844,1251563461750,2026-07-31
051910,2026-06,7267440,2395650766043,2026-06-30
051910,2026-05,8149956,3078072124994,2026-05-29
051910,2026-04,7206898,2589742544709,2026-04-30
051910,2026-03,7802334,2497469205750,2026-03-31
051910,2026-02,7883901,2744661537329,2026-02-27
051910,2026-01,7830671,2618896810250,2026-01-30
051910,2025-12,4409563,1585400562550,2025-12-30
051910,2025-11,7108278,2781670354287,2025-11-28
051910,2025-10,9748025,3526875074989,2025-10-31
010950,2026-07,10933931,1460182754600,2026-07-31
010950,2026-06,8046860,861331354837,2026-06-30
010950,2026-05,8801381,997993345550,2026-05-29
010950,2026-04,12336209,1470503868750,2026-04-30
010950,2026-03,37783962,4929053678800,2026-03-31
010950,2026-02,5775988,619021715300,2026-02-27
010950,2026-01,7865104,721755580050,2026-01-30
010950,2025-12,4583059,376600129950,2025-12-30
010950,2025-11,10049221,824232524700,2025-11-28
010950,2025-10,6923607,481524479150,2025-10-31
011170,2026-07,2368915,141883806200,2026-07-31
011170,2026-06,3410026,255394333228,2026-06-30
011170,2026-05,5677446,524906284450,2026-05-29
011170,2026-04,6200906,606258421700,2026-04-30
011170,2026-03,6114760,479289539250,2026-03-31
011170,2026-02,5357848,456116118700,2026-02-27
011170,2026-01,3984720,301542190400,2026-01-30
011170,2025-12,2704749,200048547050,2025-12-30
011170,2025-11,4593739,360479561600,2025-11-28
011170,2025-10,3046669,218553639500,2025-10-31
047050,2026-07,10780782,552715248800,2026-07-31
047050,2026-06,12483508,711976868050,2026-06-30
047050,2026-05,12650249,928325318850,2026-05-29
047050,2026-04,20189636,1581688163700,2026-04-30
047050,2026-03,28981928,2192323423150,2026-03-31
047050,2026-02,15948076,1105266649000,2026-02-27
047050,2026-01,20300849,1193673947350,2026-01-30
047050,2025-12,6578154,348462692700,2025-12-30
047050,2025-11,6130693,326897148700,2025-11-28
047050,2025-10,15476272,865552352900,2025-10-31
373220,2026-07,7653885,2524970023000,2026-07-31
373220,2026-06,11230807,4536434816500,2026-06-30
373220,2026-05,10165073,4433672927890,2026-05-29
373220,2026-04,10160601,4469715123250,2026-04-30
373220,2026-03,8444832,3207840446000,2026-03-31
373220,2026-02,6364606,2581083982750,2026-02-27
373220,2026-01,9498310,3800070455250,2026-01-30
373220,2025-12,7271140,2980601729004,2025-12-30
373220,2025-11,7128270,3230111050000,2025-11-28
373220,2025-10,10266662,4476985524582,2025-10-31
006400,2026-07,11142968,4737203703750,2026-07-31
006400,2026-06,12330038,6646277931000,2026-06-30
006400,2026-05,15179447,9881506942000,2026-05-29
006400,2026-04,22298701,12411526128000,2026-04-30
006400,2026-03,14608640,5832586728250,2026-03-31
006400,2026-02,17086145,6862999782000,2026-02-27
006400,2026-01,29472042,10201837073500,2026-01-30
006400,2025-12,8018558,2359452977530,2025-12-30
006400,2025-11,11951071,3761911162750,2025-11-28
006400,2025-10,21739639,6013199857288,2025-10-31
247540,2026-07,11052764,1278972616550,2026-07-31
247540,2026-06,14073388,2376103147550,2026-06-30
247540,2026-05,14549746,3088109427250,2026-05-29
247540,2026-04,11249468,2328327041700,2026-04-30
247540,2026-03,13515138,2630792574000,2026-03-31
247540,2026-02,14002183,2971945292300,2026-02-27
247540,2026-01,24138517,4730492795800,2026-01-30
247540,2025-12,13184192,2210193726450,2025-12-30
247540,2025-11,8522485,1300873167900,2025-11-28
247540,2025-10,25274436,3984157574250,2025-10-31
003670,2026-07,6715203,983200742550,2026-07-31
003670,2026-06,6381806,1242890053500,2026-06-30
003670,2026-05,7868463,2026029541750,2026-05-29
003670,2026-04,8362519,1964006998250,2026-04-30
003670,2026-03,9418992,1911949753950,2026-03-31
003670,2026-02,8092542,1865645840000,2026-02-27
003670,2026-01,12525020,2580327783850,2026-01-30
003670,2025-12,7632122,1584686793650,2025-12-30
003670,2025-11,6631176,1376662110950,2025-11-28
003670,2025-10,16742270,3334648097200,2025-10-31
