code,name,기준,window,start,end,days,vwap
096770,SK이노베이션,평가일,2M,2026-02-17,2026-04-16,40,121575.657512
096770,SK이노베이션,기준일,2M,2025-10-31,2025-12-30,42,116576.205755
051910,LG화학,평가일,2M,2026-02-17,2026-04-16,40,337394.237832
051910,LG화학,기준일,2M,2025-10-31,2025-12-30,42,379757.123071
010950,S-Oil,평가일,2M,2026-02-17,2026-04-16,40,122908.377901
010950,S-Oil,기준일,2M,2025-10-31,2025-12-30,42,81852.748113
011170,롯데케미칼,평가일,2M,2026-02-17,2026-04-16,40,83577.425143
011170,롯데케미칼,기준일,2M,2025-10-31,2025-12-30,42,76921.799826
047050,포스코인터내셔널,평가일,2M,2026-02-17,2026-04-16,40,75077.299066
047050,포스코인터내셔널,기준일,2M,2025-10-31,2025-12-30,42,53173.658214
373220,LG에너지솔루션,평가일,2M,2026-02-17,2026-04-16,40,395018.062879
373220,LG에너지솔루션,기준일,2M,2025-10-31,2025-12-30,42,432292.618555
006400,삼성SDI,평가일,2M,2026-02-17,2026-04-16,40,421729.497457
006400,삼성SDI,기준일,2M,2025-10-31,2025-12-30,42,307201.858422
247540,에코프로비엠,평가일,2M,2026-02-17,2026-04-16,40,199381.311709
247540,에코프로비엠,기준일,2M,2025-10-31,2025-12-30,42,161505.356757
003670,포스코퓨처엠,평가일,2M,2026-02-17,2026-04-16,40,212041.731920
003670,포스코퓨처엠,기준일,2M,2025-10-31,2025-12-30,42,207718.975659
