항목,값
SK이노베이션 보정주가(평가일),121575.657512
SK이노베이션 보정주가(기준일),116576.205755
SK이노베이션 증감율,0.042886
LG화학 보정주가(평가일),337394.237832
LG화학 보정주가(기준일),379757.123071
LG화학 증감율,-0.111553
S-Oil 보정주가(평가일),122908.377901
S-Oil 보정주가(기준일),81852.748113
S-Oil 증감율,0.501579
롯데케미칼 보정주가(평가일),83577.425143
롯데케미칼 보정주가(기준일),76921.799826
롯데케미칼 증감율,0.086525
포스코인터내셔널 보정주가(평가일),75077.299066
포스코인터내셔널 보정주가(기준일),53173.658214
포스코인터내셔널 증감율,0.411927
LG에너지솔루션 보정주가(평가일),395018.062879
LG에너지솔루션 보정주가(기준일),432292.618555
LG에너지솔루션 증감율,-0.086225
삼성SDI 보정주가(평가일),421729.497457
삼성SDI 보정주가(기준일),307201.858422
삼성SDI 증감율,0.372809
에코프로비엠 보정주가(평가일),199381.311709
에코프로비엠 보정주가(기준일),161505.356757
에코프로비엠 증감율,0.234518
포스코퓨처엠 보정주가(평가일),212041.731920
포스코퓨처엠 보정주가(기준일),207718.975659
포스코퓨처엠 증감율,0.020811
에화 그룹 평균 증감율,0.222119
에화 가중치,0.6
배소 그룹 평균 증감율,0.135478
배소 가중치,0.4
Peer 증감율,0.187463
SK 증감율,0.042886
상대 증감율 x,-0.144577
배수 1/(1-x),0.873685
SK 거래량보정주가(평가일),121575.657512
평가주가,106218.834252
V1 앵커,116576.205755
V1 점수(원값),16.307637
V1 점수(확정),16.307637
V2 앵커,109995.371560
V2 점수(원값),30.844373
V2 점수(확정),30.844373
V3 앵커,113109.000000
V3 점수(원값),23.755691
V3 점수(확정),23.755691
