code,month,일봉합_거래량,월봉_거래량,일봉합_거래대금,월봉_거래대금,판정
003670,2026-02,8092542,8092542,1865645840000,1865645840000,일치
003670,2026-03,9418992,9418992,1911949753950,1911949753950,일치
003670,2026-04,8362519,8362519,1964006998250,1964006998250,일치
006400,2026-02,17086145,17086145,6862999782000,6862999782000,일치
006400,2026-03,14608640,14608640,5832586728250,5832586728250,일치
006400,2026-04,22298701,22298701,12411526128000,12411526128000,일치
010950,2026-02,5775988,5775988,619021715300,619021715300,일치
010950,2026-03,37783962,37783962,4929053678800,4929053678800,일치
010950,2026-04,12336209,12336209,1470503868750,1470503868750,일치
011170,2026-02,5357848,5357848,456116118700,456116118700,일치
011170,2026-03,6114760,6114760,479289539250,479289539250,일치
011170,2026-04,6200906,6200906,606258421700,606258421700,일치
047050,2026-02,15948076,15948076,1105266649000,1105266649000,일치
047050,2026-03,28981928,28981928,2192323423150,2192323423150,일치
047050,2026-04,20189636,20189636,1581688163700,1581688163700,일치
051910,2026-02,7883901,7883901,2744661537329,2744661537329,일치
051910,2026-03,7802334,7802334,2497469205750,2497469205750,일치
051910,2026-04,7206898,7206898,2589742544709,2589742544709,일치
096770,2026-02,10908611,10908611,1334050221250,1334050221250,일치
096770,2026-03,19299288,19299288,2332511963000,2332511963000,일치
096770,2026-04,15701243,15701243,2046627461750,2046627461750,일치
247540,2026-02,14002183,14002183,2971945292300,2971945292300,일치
247540,2026-03,13515138,13515138,2630792574000,2630792574000,일치
247540,2026-04,11249468,11249468,2328327041700,2328327041700,일치
373220,2026-02,6364606,6364606,2581083982750,2581083982750,일치
373220,2026-03,8444832,8444832,3207840446000,3207840446000,일치
373220,2026-04,10160601,10160601,4469715123250,4469715123250,일치
