code,name,기준,window,start,end,days,vwap
096770,SK이노베이션,평가일,2M,2026-05-16,2026-07-15,41,108464.943991
096770,SK이노베이션,기준일,2M,2025-10-31,2025-12-30,42,116576.205755
051910,LG화학,평가일,2M,2026-05-16,2026-07-15,41,323901.117830
051910,LG화학,기준일,2M,2025-10-31,2025-12-30,42,379757.123071
010950,S-Oil,평가일,2M,2026-05-16,2026-07-15,41,114614.724574
010950,S-Oil,기준일,2M,2025-10-31,2025-12-30,42,81852.748113
011170,롯데케미칼,평가일,2M,2026-05-16,2026-07-15,41,74377.135304
011170,롯데케미칼,기준일,2M,2025-10-31,2025-12-30,42,76921.799826
047050,포스코인터내셔널,평가일,2M,2026-05-16,2026-07-15,41,57941.252317
047050,포스코인터내셔널,기준일,2M,2025-10-31,2025-12-30,42,53173.658214
373220,LG에너지솔루션,평가일,2M,2026-05-16,2026-07-15,41,393581.797317
373220,LG에너지솔루션,기준일,2M,2025-10-31,2025-12-30,42,432292.618555
006400,삼성SDI,평가일,2M,2026-05-16,2026-07-15,41,546692.920846
006400,삼성SDI,기준일,2M,2025-10-31,2025-12-30,42,307201.858422
247540,에코프로비엠,평가일,2M,2026-05-16,2026-07-15,41,166245.196377
247540,에코프로비엠,기준일,2M,2025-10-31,2025-12-30,42,161505.356757
003670,포스코퓨처엠,평가일,2M,2026-05-16,2026-07-15,41,191755.412238
003670,포스코퓨처엠,기준일,2M,2025-10-31,2025-12-30,42,207718.975659
