항목,값
SK이노베이션 보정주가(평가일),108464.943991
SK이노베이션 보정주가(기준일),116576.205755
SK이노베이션 증감율,-0.069579
LG화학 보정주가(평가일),323901.117830
LG화학 보정주가(기준일),379757.123071
LG화학 증감율,-0.147083
S-Oil 보정주가(평가일),114614.724574
S-Oil 보정주가(기준일),81852.748113
S-Oil 증감율,0.400255
롯데케미칼 보정주가(평가일),74377.135304
롯데케미칼 보정주가(기준일),76921.799826
롯데케미칼 증감율,-0.033081
포스코인터내셔널 보정주가(평가일),57941.252317
포스코인터내셔널 보정주가(기준일),53173.658214
포스코인터내셔널 증감율,0.089661
LG에너지솔루션 보정주가(평가일),393581.797317
LG에너지솔루션 보정주가(기준일),432292.618555
LG에너지솔루션 증감율,-0.089548
삼성SDI 보정주가(평가일),546692.920846
삼성SDI 보정주가(기준일),307201.858422
삼성SDI 증감율,0.779589
에코프로비엠 보정주가(평가일),166245.196377
에코프로비엠 보정주가(기준일),161505.356757
에코프로비엠 증감율,0.029348
포스코퓨처엠 보정주가(평가일),191755.412238
포스코퓨처엠 보정주가(기준일),207718.975659
포스코퓨처엠 증감율,-0.076852
에화 그룹 평균 증감율,0.077438
에화 가중치,0.6
배소 그룹 평균 증감율,0.160634
배소 가중치,0.4
Peer 증감율,0.110716
SK 증감율,-0.069579
상대 증감율 x,-0.180295
배수 1/(1-x),0.847246
SK 거래량보정주가(평가일),108464.943991
평가주가,91896.436352
V1 앵커,116576.205755
V1 점수(원값),-16.454675
V1 점수(확정),0.000000
V2 앵커,109995.371560
V2 점수(원값),-3.878053
V2 점수(확정),0.000000
V3 앵커,113109.000000
V3 점수(원값),-10.010907
V3 점수(확정),0.000000
