code,month,일봉합_거래량,월봉_거래량,일봉합_거래대금,월봉_거래대금,판정
003670,2026-05,7868463,7868463,2026029541750,2026029541750,일치
003670,2026-06,6381806,6381806,1242890053500,1242890053500,일치
003670,2026-07,5168347,5168347,781497955400,781497955400,일치
006400,2026-05,15179447,15179447,9881506942000,9881506942000,일치
006400,2026-06,12330038,12330038,6646277931000,6646277931000,일치
006400,2026-07,8646378,8646378,3801121519250,3801121519250,일치
010950,2026-05,8801381,8801381,997993345550,997993345550,일치
010950,2026-06,8046860,8046860,861331354837,861331354837,일치
010950,2026-07,9305997,9305997,1250860585250,1250860585250,일치
011170,2026-05,5677446,5677446,524906284450,524906284450,일치
011170,2026-06,3410026,3410026,255394333228,255394333228,일치
011170,2026-07,1891383,1891383,115403310050,115403310050,일치
047050,2026-05,12650249,12650249,928325318850,928325318850,일치
047050,2026-06,12483508,12483508,711976868050,711976868050,일치
047050,2026-07,8706318,8706318,447643278050,447643278050,일치
051910,2026-05,8149956,8149956,3078072124994,3078072124994,일치
051910,2026-06,7267440,7267440,2395650766043,2395650766043,일치
051910,2026-07,3727554,3727554,984115862500,984115862500,일치
096770,2026-05,13653404,13653404,1764943165300,1764943165300,일치
096770,2026-06,9699241,9699241,1020960763350,1020960763350,일치
096770,2026-07,14668037,14668037,1693885129050,1693885129050,일치
247540,2026-05,14549746,14549746,3088109427250,3088109427250,일치
247540,2026-06,14073388,14073388,2376103147550,2376103147550,일치
247540,2026-07,9116861,9116861,1088416971100,1088416971100,일치
373220,2026-05,10165073,10165073,4433672927890,4433672927890,일치
373220,2026-06,11230807,11230807,4536434816500,4536434816500,일치
373220,2026-07,5946702,5946702,1987781777500,1987781777500,일치
